,date,baseline,demand_changes
1,1/1/09,0,0
2,2/1/09,0,0
3,3/1/09,0,0
4,4/1/09,0,0
5,5/1/09,2,0
6,6/1/09,2,0
7,7/1/09,2,0
8,8/1/09,2,0
9,9/1/09,2,0
10,10/1/09,2,0
11,11/1/09,0,0
12,12/1/09,0,0
13,1/1/10,0,0
14,2/1/10,0,0
15,3/1/10,0,0
16,4/1/10,0,0
17,5/1/10,0,0
18,6/1/10,0,0
19,7/1/10,0,0
20,8/1/10,0,0
21,9/1/10,0,0
22,10/1/10,0,0
23,11/1/10,0,0
24,12/1/10,0,0
25,1/1/11,0,0
26,2/1/11,0,0
27,3/1/11,0,0
28,4/1/11,0,0
29,5/1/11,0,0
30,6/1/11,0,0
31,7/1/11,0,0
32,8/1/11,0,0
33,9/1/11,0,0
34,10/1/11,0,0
35,11/1/11,0,0
36,12/1/11,0,0
37,1/1/12,0,0
38,2/1/12,0,0
39,3/1/12,0,0
40,4/1/12,0,0
41,5/1/12,1,0
42,6/1/12,1,0
43,7/1/12,1,0
44,8/1/12,1,0
45,9/1/12,1,0
46,10/1/12,1,0
47,11/1/12,0,0
48,12/1/12,0,0
49,1/1/13,0,0
50,2/1/13,0,0
51,3/1/13,0,0
52,4/1/13,0,0
53,5/1/13,1,0
54,6/1/13,1,0
55,7/1/13,1,0
56,8/1/13,1,0
57,9/1/13,1,0
58,10/1/13,1,0
59,11/1/13,1,0
60,12/1/13,1,0
61,1/1/14,0,0
62,2/1/14,0,0
63,3/1/14,0,0
64,4/1/14,3,0
65,5/1/14,3,0
66,6/1/14,3,0
67,7/1/14,3,0
68,8/1/14,3,0
69,9/1/14,3,0
70,10/1/14,3,0
71,11/1/14,3,0
72,12/1/14,3,0
73,1/1/15,3,0
74,2/1/15,3,0
75,3/1/15,3,0
76,4/1/15,3,0
77,5/1/15,3,0
78,6/1/15,3,0
79,7/1/15,3,0
80,8/1/15,3,0
81,9/1/15,3,0
82,10/1/15,3,0
83,11/1/15,3,0
84,12/1/15,3,0
85,1/1/16,0,0.23
86,2/1/16,0,0
87,3/1/16,0,0
88,4/1/16,0,0
89,5/1/16,0,0
90,6/1/16,0,0
91,7/1/16,0,0
92,8/1/16,0,0
93,9/1/16,0,0
94,10/1/16,0,0
95,11/1/16,0,0
96,12/1/16,0,0
97,1/1/17,0,0
98,2/1/17,0,0
99,3/1/17,0,0
100,4/1/17,0,0
101,5/1/17,0,0
102,6/1/17,0,0
103,7/1/17,0,0
104,8/1/17,0,0
105,9/1/17,0,0
106,10/1/17,0,0
107,11/1/17,0,0
108,12/1/17,0,0
109,1/1/18,0,0
110,2/1/18,0,0
111,3/1/18,0,0
112,4/1/18,1,0
113,5/1/18,1,0
114,6/1/18,1,0
115,7/1/18,1,0
116,8/1/18,1,0
117,9/1/18,1,0
118,10/1/18,1,0
119,11/1/18,0,0
120,12/1/18,0,0
121,1/1/19,0,0
122,2/1/19,0,0
123,3/1/19,0,0
124,4/1/19,0,0
125,5/1/19,0,0
126,6/1/19,0,0
127,7/1/19,0,0
128,8/1/19,0,0
129,9/1/19,0,0
130,10/1/19,0,0
131,11/1/19,0,0
132,12/1/19,0,0
